,SN20A,SN20B,SN21A,SN21B,SN22A,SN22B,SN23A,SN23B,SN24A,SN24B,SN25A,SN25B
MS4A4A,16,7,2,0,22,6,7,6,4,4,15,4
NewGene_12896,27,38,30,72,40,26,50,26,72,35,16,56
NewGene_10904,0,0,2,0,2,4,2,0,3,0,1,0
NewGene_18022,3,3,10,2,2,4,7,0,3,9,6,6
MIXL1,515,302,218,138,270,291,225,206,355,250,172,176
NewGene_18020,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_18021,28,32,28,30,29,38,34,36,24,32,28,43
GPX8,6442,6575,2975,2509,2905,2608,2393,2735,3458,2981,3928,3579
NewGene_10907,5,4,14,21,8,16,13,9,13,17,25,17
TGFBR3L,54,46,51,32,75,47,44,61,44,52,33,23
TNFRSF14,14,13,16,12,13,21,12,10,16,21,15,14
MAGEA3,0,0,0,0,0,1,0,0,0,0,0,0
KBTBD11,526,147,1591,963,2036,250,1585,1985,1375,606,1460,1458
KBTBD12,4,0,5,3,0,2,12,3,0,0,5,0
KBTBD13,0,0,0,0,0,0,0,0,1,0,0,0
THAP9,223,229,194,315,213,245,293,199,227,192,257,242
PDILT,0,0,0,0,0,2,0,0,0,2,0,0
THAP7,411,370,326,356,280,313,355,227,325,234,544,398
THAP6,599,552,495,573,381,429,531,400,520,490,722,653
THAP5,1106,1131,1117,1492,1023,1237,1321,1114,1245,1093,1505,1532
THAP4,1308,1117,1446,1110,1402,1558,1348,1323,1125,1204,1755,1353
THAP3,311,244,393,456,270,353,410,304,364,339,499,433
THAP2,312,295,489,706,510,484,709,406,616,552,819,741
THAP1,320,278,274,322,282,290,327,220,282,259,514,388
PYGM,390,189,413,69,396,207,902,219,404,210,187,142
PYGL,1918,1807,789,718,629,624,748,789,907,806,1014,980
XBP1,4669,4643,4387,7511,4782,5739,4039,4478,3918,4076,5439,5468
NewGene_18029,0,0,0,0,0,0,0,0,0,2,0,0
NOXA1,241,213,214,179,185,227,231,205,279,400,291,256
PYGB,5274,4811,9468,6001,10215,11331,8256,9658,6389,7053,6830,6039
OR8K5,0,0,0,0,0,0,0,0,0,0,0,0
LOC124905345,4,2,3,2,1,2,2,3,3,4,5,6
OR8K3,0,0,0,0,0,0,0,0,0,0,0,0
CIPC,2341,1974,1799,1867,1714,1540,1873,1383,1748,1472,2842,2306
OR8K1,0,0,0,0,0,0,0,0,0,0,0,0
PON1,4,10,32,6,29,40,18,37,10,18,8,9
PON2,3878,4319,4945,13690,2057,1910,14143,1955,10202,6160,4908,4837
PON3,0,0,0,0,0,0,0,0,0,1,0,2
NewGene_154,110,145,174,222,210,192,265,130,184,161,250,220
SURF6,535,526,609,632,547,746,762,533,581,537,760,642
GOLGA8Q,51,55,35,23,15,41,72,44,30,61,29,49
ATP5MGL,2,0,0,2,0,1,0,1,0,0,0,0
TAS2R46,1,0,0,0,0,0,0,0,0,1,1,0
INSIG2,1377,1410,1876,1541,1729,1852,2132,1653,1459,1365,1573,1410
INSIG1,1246,1380,4453,3459,4855,6166,4397,5514,2751,2232,4988,3988
CXCR4,512,855,1587,3079,1157,1470,2819,1255,1401,1518,1537,2042
CXCR5,35,41,170,16,112,690,58,262,23,44,13,44
CXCR6,6,3,0,0,0,0,2,0,0,5,6,3
RPP25L,219,174,124,202,144,112,169,108,137,135,193,190
CXCR1,0,0,0,0,0,0,0,0,0,2,0,0
CXCR2,0,0,0,2,2,2,0,0,0,0,0,0
CXCR3,0,0,0,0,0,0,0,0,0,0,0,0
LOC124909484,0,0,0,0,0,0,0,0,0,0,0,0
SCT,10,3,5,0,1,0,0,0,2,0,4,9
SCX,17,40,29,67,51,50,34,39,43,57,43,43
LOC101930434,0,0,1,0,0,0,0,0,2,1,2,0
MASP1,8,5,147,4444,24,20,1150,23,224,86,59,141
SCD,12537,12298,18508,46484,20377,22341,31950,19863,19461,13885,25543,21004
TAS2R14,10,25,23,21,24,29,28,25,33,77,17,25
TAS2R13,0,0,2,2,0,0,1,3,0,2,0,0
GOLGA8K,2,11,40,5,7,12,8,8,7,42,14,7
TAS2R10,2,3,2,4,3,3,4,2,3,3,4,2
TAS2R19,2,5,5,12,4,9,10,3,2,10,5,4
VPS54,1727,1458,1342,1315,1332,1435,1455,1210,1371,1428,1709,1645
DYRK1B,370,256,267,307,267,256,248,236,236,236,468,361
VPS50,1015,971,1290,1212,1478,1357,1436,1276,1190,1232,1586,1307
VPS51,1616,1391,1102,1685,1120,1228,1429,1013,1367,1167,2086,1636
VPS52,0,1,0,0,0,1,0,0,0,0,1,0
VPS53,1003,891,1210,862,1265,1400,1259,1190,1017,984,1372,1074
CNN1,759,779,376,290,338,285,277,294,312,308,490,326
CNN2,9194,8473,5054,6179,5207,4877,5744,4038,4839,4681,5310,4676
CNN3,11758,11292,8943,11772,7148,6344,11301,5648,9442,7017,13572,10885
ILF2,7162,6613,6351,9053,5374,6125,6615,5548,5929,5583,7068,6470
ILF3,11421,10846,10750,15504,9524,10518,13870,9248,10776,10712,13233,11384
NewGene_11832,3,0,4,0,0,0,2,0,0,2,2,0
NewGene_11833,301,301,188,391,144,201,239,161,223,228,266,352
NewGene_11836,12,21,4,6,10,5,5,11,0,8,7,17
NewGene_11835,0,1,0,0,0,1,5,0,0,1,0,2
MEIOSIN,0,0,0,0,0,0,0,0,5,4,2,0
LOC124909487,2,9,9,9,3,7,10,2,4,9,7,9
LOC124904439,2,1,5,3,2,4,3,5,3,4,2,6
RFESD,92,65,140,95,116,161,144,106,104,119,75,103
NewGene_3602,1,0,0,0,1,1,1,0,0,1,0,0
NewGene_18686,0,0,0,0,0,0,0,0,3,1,0,3
NewGene_18687,7,17,37,22,27,10,6,11,14,10,131,98
NDNF,5108,2761,709,419,521,133,660,260,1895,653,810,602
NewGene_18683,0,0,2,0,0,1,0,0,0,0,0,0
NewGene_7852,2,0,0,0,0,0,0,0,0,0,0,0
NewGene_18689,0,0,0,0,0,0,0,0,0,0,6,11
CNTNAP3B,370,277,615,557,347,483,705,412,439,389,458,316
CNTNAP3C,44,17,16,29,12,11,3,24,23,13,21,9
HRURF,0,0,1,1,1,1,1,1,1,1,0,1
NewGene_9301,0,0,4,0,0,2,0,3,0,4,2,5
NewGene_9304,19,7,38,9,90,94,38,83,42,80,26,28
NewGene_9305,0,0,0,0,4,2,2,2,0,5,3,3
NewGene_9307,7,7,10,10,0,11,4,13,3,9,14,3
RAB5B,8298,7339,8268,7089,8610,9454,8048,7855,7915,7398,10225,8985
RAB5C,5062,4497,4234,3555,3785,4220,4245,3855,3694,3587,4705,3913
RAB5A,3913,3614,3805,3863,3848,4112,3855,3673,3277,3158,3765,3413
OR51A4,0,0,0,0,0,0,0,0,0,0,0,0
SALL2,3107,3100,4178,5567,4658,4779,5195,3956,4042,3845,5380,4665
SALL3,125,141,286,64,195,166,171,175,8,173,374,300
SALL1,110,87,802,221,701,653,547,673,575,740,642,627
PI15,39,45,304,41,971,442,362,310,247,108,55,106
SALL4,255,203,215,183,151,164,151,215,199,220,139,128
MAGEH1,3792,3157,3210,2137,3750,3563,2780,2927,2955,2803,3579,2871
JTB,3885,3129,2345,2333,2265,2277,2313,1861,2490,2417,3033,2993
NewGene_2252,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_19483,3,0,0,0,0,0,0,0,0,0,0,0
NewGene_19480,0,2,0,0,0,0,0,0,0,0,0,0
C5AR1,514,371,115,58,124,53,102,99,122,111,178,122
NewGene_19486,0,0,0,0,0,0,0,0,0,0,0,2
NewGene_19485,94,112,444,182,297,399,299,371,276,306,185,291
C5AR2,0,0,0,0,0,0,0,0,0,0,0,0
VIPAS39,1114,987,1048,942,952,1077,1130,886,875,1019,1329,1079
VEGFC,349,341,204,297,134,127,328,111,280,175,411,365
LPCAT1,1733,1950,2445,2132,2609,3197,2966,2421,2264,2228,2513,2299
TMLHE,371,331,473,472,337,409,427,304,344,369,325,391
NewGene_17934,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_17937,0,2,0,0,0,0,0,0,0,0,0,0
NewGene_17936,0,2,0,0,0,0,0,0,0,0,0,2
NewGene_17930,7,8,8,2,14,3,9,5,18,8,17,10
NewGene_17933,0,0,3,2,5,0,0,0,0,0,0,0
NewGene_17932,0,2,0,0,0,2,2,6,3,4,2,0
ZNF93,63,61,72,344,82,83,158,55,103,85,115,100
ZNF92,360,403,383,780,377,363,601,395,457,450,656,594
ZNF91,768,757,1106,1577,935,1071,1503,920,1234,1137,1201,1225
ZNF90,12,13,23,97,10,18,23,16,17,17,18,28
NewGene_17938,0,3,6,8,7,10,11,7,12,9,9,5
NewGene_11304,0,0,0,2,0,0,4,0,0,2,0,0
NewGene_15684,12,12,19,12,12,16,17,19,16,19,8,10
NewGene_15687,0,2,0,0,0,0,0,0,0,0,4,0
NewGene_15681,24,21,34,35,29,33,34,35,28,48,14,24
NewGene_11301,2,0,0,0,0,0,0,5,0,0,0,0
NewGene_15683,186,150,317,212,338,339,297,259,229,295,327,342
NewGene_15682,0,0,0,0,0,0,0,0,0,2,0,2
NewGene_11308,63,44,197,228,212,215,190,172,160,223,148,179
NewGene_15688,3,0,2,0,0,0,6,3,0,0,4,3
NewGene_19150,42,40,38,7,36,16,30,10,34,12,102,95
NewGene_19153,0,4,7,2,6,0,6,12,3,8,4,5
NewGene_19152,0,0,0,0,0,0,0,0,0,0,4,0
NewGene_19154,2,4,3,0,0,0,3,1,0,4,0,0
NewGene_19157,123,114,303,238,383,311,323,288,259,379,221,255
NewGene_19159,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_19158,0,0,2,0,0,0,0,0,2,0,1,0
RNF187,2018,1767,2875,3229,2951,3667,2635,1157,2583,2660,3292,3466
NewGene_2854,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_17683,0,0,0,0,5,10,0,0,0,0,0,3
NewGene_6727,167,148,157,108,131,176,125,141,117,75,130,105
NewGene_2039,0,0,0,0,0,2,0,0,0,0,0,0
NewGene_2038,5,4,7,2,9,5,9,4,3,2,0,7
NewGene_17685,1,11,8,11,8,0,5,4,16,4,16,7
NewGene_6726,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_2033,2,0,0,0,0,0,0,1,2,0,0,4
LURAP1L,110,107,271,139,321,309,192,292,251,177,366,260
NewGene_2031,0,0,0,0,0,0,0,0,0,0,2,0
NewGene_2030,3,0,0,5,7,9,5,0,4,3,0,0
NewGene_2037,0,0,0,0,2,0,1,0,0,0,0,0
NewGene_2036,0,0,6,15,4,6,6,0,8,6,22,23
NewGene_2035,0,0,0,0,0,0,0,0,4,0,0,0
NewGene_2034,0,0,5,0,0,0,0,0,0,0,0,0
LBR,957,1093,1360,3269,1075,1270,1881,1097,1360,1412,1393,1456
RELL1,175,193,142,248,150,112,320,137,193,188,153,142
NewGene_6724,0,0,0,0,0,0,2,0,0,0,0,0
PATE2,0,0,4,0,5,5,2,3,7,5,4,2
NewGene_9515,0,0,2,20,0,2,10,5,0,4,0,0
PATE1,0,0,0,0,0,0,0,0,0,0,0,0
PATE4,0,0,0,2,0,0,0,0,3,0,3,3
NewGene_6722,100,91,180,230,178,159,237,157,200,229,254,214
GOLGA6L10,22,51,18,46,42,44,35,38,39,48,43,5
NewGene_6721,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_16089,349,257,109,33,47,26,44,13,70,35,210,206
NewGene_16086,1,3,16,4,12,17,1,7,9,9,5,5
NewGene_16087,13,6,26,40,35,54,44,38,47,81,45,27
NewGene_16084,8,13,51,21,39,26,86,48,61,93,48,38
NewGene_16085,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP9-2,0,0,0,0,0,0,0,0,0,0,0,0
ADD2,2314,2307,8765,8429,10014,11549,10125,9593,6542,7651,6513,6555
ADD3,5032,4814,5155,3207,4148,4603,5066,4610,4956,4357,3685,3460
ADD1,8250,7100,9965,9254,9004,9983,10848,8809,8394,8326,9848,8300
KLRB1,0,0,0,2,0,0,0,0,5,0,0,0
CCS,1289,846,676,672,598,542,838,454,703,778,632,539
GMPR2,1924,1546,1400,1213,1518,1479,1496,1131,1295,1138,1631,2063
GDNF,10,14,32,18,64,72,27,65,71,67,24,46
HLA-DPA1,0,0,0,0,0,0,0,0,0,0,0,0
RPRML,11,3,3,83,5,2,2,6,6,2,4,5
SNUPN,619,641,742,613,551,557,695,497,603,536,837,672
NewGene_2254,0,0,0,0,2,0,0,0,0,0,0,0
NewGene_16334,2,0,0,4,3,3,2,2,4,10,0,2
NewGene_16335,38,31,88,56,91,168,107,108,95,150,47,41
OR1G1,0,0,0,0,0,0,0,0,0,0,3,0
NewGene_16337,0,0,0,0,7,0,3,0,3,0,3,2
NewGene_16330,0,0,0,0,0,1,0,0,0,0,0,0
NewGene_16331,0,1,0,0,1,0,0,3,1,0,1,0
NewGene_16332,0,0,0,2,0,0,0,0,0,0,0,0
NewGene_16333,45,41,29,73,51,61,63,37,46,14,78,80
BST1,15,9,37,16,26,36,38,44,24,25,40,33
BST2,1895,1428,1376,623,1036,935,984,911,1132,1019,623,848
PRKCZ,1741,1476,3355,1612,3569,3940,2878,3132,2453,2598,3110,2719
LOC124901646,0,0,0,0,0,0,0,0,0,0,0,0
PRKCG,585,418,738,907,552,566,657,411,494,577,360,366
PRKCD,681,554,1301,455,1176,1276,810,1130,610,868,564,538
PRKCE,421,445,1838,618,2837,3084,1515,2394,1273,1410,1296,1408
PRKCB,1541,1225,7746,3026,10858,12529,6803,8857,4999,4959,5808,5041
PRKCA,4044,3154,3080,1782,3638,3825,3078,3399,2520,2718,2169,1773
PRKCH,281,233,407,203,197,152,217,228,285,216,208,182
PRKCI,2286,2439,3112,2703,3169,3038,3119,2817,2393,2318,3138,2863
WFDC6,0,2,0,0,2,0,0,0,0,2,0,0
WFDC5,61,45,357,93,476,768,214,512,170,355,135,194
WFDC2,248,180,490,170,478,519,396,439,319,366,311,212
WFDC3,13,7,6,10,4,2,6,7,7,2,0,10
WFDC1,327,310,88,84,279,140,172,99,379,149,215,127
WFDC8,0,0,10,3,8,9,8,7,10,4,0,6
WFDC9,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_17257,1,13,7,0,0,1,0,3,0,6,2,3
VPS26A,2867,2762,3196,2799,3354,3218,3160,3093,2600,2636,3333,2897
VPS26B,4178,3134,6333,3751,6468,7061,5374,6090,4694,4710,5519,4745
IFT46,1830,1651,984,1144,798,799,1035,722,935,805,1707,1506
IFT43,1306,1116,776,869,672,744,761,676,801,736,963,939
NewGene_13308,5,5,5,2,0,6,16,15,2,7,0,12
NewGene_13309,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_13302,98,70,168,106,138,176,141,101,120,167,68,36
NewGene_13303,4,13,20,11,28,29,27,24,27,44,19,9
NewGene_13300,4,4,19,10,27,16,16,9,16,36,11,10
NewGene_13306,0,2,5,0,0,3,0,2,5,2,11,4
NUP188,2358,2070,1630,1963,1492,1496,1911,1327,1549,1601,2500,2048
NewGene_13304,0,0,0,1,0,0,0,0,0,0,0,2
NewGene_13305,0,0,8,0,0,2,0,0,0,0,0,0
TEX35,0,0,2,0,1,0,0,0,0,0,0,0
TEX36,0,0,0,0,0,0,0,0,0,0,0,0
TEX37,0,0,4,0,0,0,0,0,0,0,0,0
TEX30,264,262,312,338,197,230,352,206,283,215,343,298
TEX33,0,0,0,0,0,0,0,0,0,0,0,0
TEX38,4,3,9,3,6,7,9,5,2,9,5,6
TMEM185B,1482,1523,1055,1288,1063,1236,1228,1045,1051,999,1366,1244
NewGene_3849,39,40,22,14,18,20,17,22,19,19,18,20
NewGene_3848,609,619,304,236,312,371,251,364,281,461,472,392
NewGene_3844,12,8,12,15,12,15,24,14,15,17,16,6
NewGene_3847,5,0,4,3,0,3,0,2,0,0,5,7
TMEM185A,1234,850,866,852,895,841,794,668,945,712,1170,1081
NewGene_3841,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_3843,65,81,195,105,197,212,182,159,159,146,180,157
NewGene_3842,0,0,0,1,2,0,0,2,0,2,0,0
DIRAS1,2010,1556,5955,3579,5908,6653,4681,5492,3026,3400,3129,3141
DIRAS2,472,366,3721,1167,4131,4505,2993,3995,2568,2427,2065,1745
DIRAS3,443,414,422,163,219,314,553,348,358,445,364,445
CENPP,128,121,169,186,112,170,111,123,120,119,249,194
CENPQ,85,119,80,200,54,62,134,80,86,72,175,133
CENPS,275,165,138,154,108,150,158,132,120,101,211,156
CENPT,1556,1353,1559,1297,1135,1243,1461,985,1456,1602,1842,1364
CENPU,61,52,72,490,67,102,171,82,84,76,86,99
CENPV,519,495,796,1718,751,817,949,732,750,837,968,1009
CENPW,27,34,50,109,39,62,71,53,49,53,92,91
CENPX,363,316,465,413,327,448,416,309,361,380,400,372
CENPA,6,12,45,253,14,27,67,37,33,30,3,37
CENPB,2399,2204,2152,2226,1819,1983,2417,1769,2152,1924,2332,2230
CENPC,284,251,264,324,293,325,326,262,304,289,372,353
LAYN,3729,3021,2952,809,4035,3895,1846,2442,2341,2391,2009,1553
CENPF,122,209,406,2400,119,296,1107,326,504,315,226,478
CENPH,51,28,72,296,52,82,119,89,90,60,84,106
CENPI,37,61,122,487,153,153,244,140,129,91,125,90
CENPJ,218,227,495,930,377,405,935,396,628,702,605,506
CENPK,37,45,66,240,33,57,131,82,76,53,51,91
CENPL,76,60,78,128,55,78,103,87,91,77,98,90
CENPM,29,26,38,116,15,30,39,28,24,27,28,30
CENPN,50,59,75,150,42,91,94,71,82,85,72,60
CENPO,483,410,500,765,435,462,539,524,478,480,513,476
MAS1L,0,0,0,0,0,0,0,0,0,0,0,0
LMAN1L,0,0,4,0,0,0,0,0,0,2,0,0
PCDH20,27,44,135,40,122,153,82,126,122,112,115,146
NewGene_14655,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_14654,23,12,102,206,60,84,117,78,68,116,55,50
NewGene_14651,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_14650,9,4,28,14,18,28,31,30,6,26,28,27
NewGene_14653,0,0,2,4,0,0,0,0,0,0,0,0
NewGene_14652,0,0,0,0,0,0,0,0,0,0,0,0
PPARGC1A,1268,1040,1663,743,1774,1826,1448,1697,1156,1155,1818,1589
PPARGC1B,225,174,370,92,381,365,244,352,217,277,210,218
NewGene_14659,4,2,0,0,3,6,0,4,3,3,0,0
NewGene_14658,0,2,0,0,0,0,2,0,0,0,0,0
NewGene_10106,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_10822,3,6,18,10,9,18,12,12,22,19,10,8
NewGene_10823,3,0,4,6,3,5,7,4,0,2,10,0
NewGene_10820,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_10821,0,0,0,0,0,0,2,0,0,0,1,0
NewGene_10826,3,2,0,0,0,0,0,0,4,0,7,2
NewGene_10825,0,0,0,0,0,3,2,0,0,5,0,0
NewGene_10828,372,281,494,399,368,429,493,419,385,444,330,287
NewGene_10829,0,0,0,0,2,2,0,0,0,3,0,0
TRAPPC10,1853,1806,2177,1672,2062,1985,2117,2064,1845,1950,2190,1991
TRAPPC11,1791,1698,1959,1922,1782,1828,2166,1702,1870,1696,2299,2045
TRAPPC12,838,893,854,536,906,1251,774,655,905,929,1018,511
TRAPPC13,613,612,623,719,658,699,722,583,634,593,885,794
TRAPPC14,756,661,1106,636,1051,1218,1032,1056,872,1057,1097,758
LOC102724971,0,0,0,0,0,0,0,0,0,0,0,0
CLDN24,3,1,0,3,3,1,2,2,3,1,1,2
CLDN25,3,0,0,0,0,0,0,0,0,0,0,0
CLDN22,0,0,0,0,0,0,0,0,0,0,0,0
CLDN23,9,12,17,4,12,11,14,9,14,20,10,8
CLDN20,4,8,2,3,3,2,2,4,6,0,1,5
NewGene_5876,0,0,0,1,0,0,0,0,0,0,0,0
NewGene_5875,5,6,16,51,6,5,46,4,17,4,13,13
NewGene_5872,0,0,0,0,2,0,0,0,0,0,0,0
C3orf80,127,108,209,97,325,292,204,264,293,339,305,250
NewGene_5878,0,0,2,0,0,0,0,0,0,0,0,0
OR2T4,0,0,0,0,0,0,0,0,0,0,0,0
LKAAEAR1,8,10,10,1,9,17,6,8,6,5,11,14
SCPEP1,2492,2001,1259,714,986,952,999,978,1146,1114,1199,1103
NewGene_7658,0,2,0,6,0,3,9,6,3,5,0,6
NewGene_7659,31,24,73,32,105,71,28,69,55,55,17,50
NewGene_7654,3,3,36,9,31,51,18,28,18,31,12,13
NewGene_7655,2,0,0,0,0,0,5,0,0,5,0,0
TBC1D3G,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_7650,6,4,6,2,3,0,0,2,3,3,7,7
NewGene_7651,102,181,285,336,361,352,421,336,341,378,444,417
NOTCH1,844,929,784,5561,250,444,2320,457,1112,974,467,776
NOTCH3,3630,4658,2792,5674,2007,2515,3609,2741,3019,2853,2982,3059
NOTCH2,10171,9850,6365,4214,5015,4424,5134,5137,6967,5046,8945,8416
LARP1B,708,804,866,906,909,1151,933,907,822,834,1035,1082
LOC124906010,0,0,0,0,0,0,0,0,0,0,0,0
C4A,0,0,2,0,4,4,0,0,0,0,0,0
OSER1,1263,1037,1098,1175,1071,1194,1226,1022,1023,1071,1276,1184
LOC124904228,49,32,222,129,241,261,164,244,129,152,57,119
LOC102723451,46,32,45,17,37,32,44,35,48,53,51,45
KLHDC8A,671,463,4270,2616,4362,5573,3399,4280,1910,2296,1416,1380
KLHDC8B,6942,5918,2524,2178,2920,2691,2167,2314,2790,2797,4274,3819
LBHD1,383,285,266,274,236,225,272,207,348,266,386,290
LBHD2,0,2,2,0,4,0,0,0,0,4,0,0
MICOS10,1892,1704,2087,1567,2238,2279,1878,2043,1681,1661,1794,1763
MICOS13,836,688,535,421,509,572,562,522,542,533,688,628
DRD3,0,0,0,0,0,0,2,0,0,0,0,4
DRD2,713,463,3432,467,4377,5770,1841,3860,1746,2533,1275,1156
DRD1,27,33,48,35,61,49,68,51,48,59,77,75
NewGene_1556,14,3,16,9,20,24,22,19,22,12,20,14
NewGene_1551,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_1550,2,0,0,0,0,3,0,0,0,0,0,0
DRD5,14,6,38,8,37,24,12,29,45,41,41,45
DRD4,186,121,57,28,35,21,19,13,41,47,278,98
NewGene_1559,0,0,0,0,0,0,0,0,0,0,2,0
NewGene_1558,10,0,4,2,0,3,0,2,0,0,0,0
KRTAP3-3,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_6019,2,4,5,3,5,5,12,12,13,2,16,8
NewGene_6018,0,0,1,0,0,0,0,0,0,0,0,0
DEPDC7,76,77,119,113,111,87,107,77,97,80,66,93
NewGene_6014,7,3,10,12,11,22,8,11,10,22,9,12
NewGene_6017,126,80,115,63,93,148,104,113,70,107,54,64
DEPDC4,23,37,32,60,32,27,43,24,40,33,50,37
NewGene_6010,651,663,1019,720,1224,1413,1069,1067,961,1033,1037,1125
DEPDC1,12,36,75,287,30,80,129,59,64,62,21,83
NewGene_6012,56,45,133,76,114,161,143,109,124,144,120,110
NewGene_3022,0,0,0,0,0,0,0,0,0,0,2,0
NewGene_3020,542,390,126,308,119,66,157,60,220,196,337,300
NewGene_3027,369,295,98,34,96,80,46,58,127,80,242,255
NewGene_3026,111,78,4,2,17,3,10,10,20,5,67,21
NewGene_3025,27,22,31,42,37,27,50,30,31,15,39,23
DUSP8,364,167,1008,516,1116,685,889,993,695,950,921,894
NewGene_3029,63,40,100,102,89,79,135,90,82,111,74,72
NewGene_3028,84,86,160,171,198,172,230,132,143,176,184,144
FAM90A10,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A17,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A14,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A18,0,0,0,0,0,0,0,0,0,0,0,0
FAM90A19,0,0,0,0,0,0,0,0,0,0,0,0
JAM3,3587,3639,3504,4407,3211,3357,3618,3242,3099,3403,3719,3740
ASPHD2,684,538,1007,627,1147,1190,824,1162,746,914,852,852
ASPHD1,357,392,849,480,942,1113,620,975,616,745,532,549
GREB1L,440,429,1483,1504,1200,1224,1529,1241,1100,1380,992,941
JAML,0,0,8,0,0,4,4,4,3,0,0,0
NEIL2,293,284,321,344,454,728,427,400,242,310,247,311
NEIL3,10,7,42,123,22,15,49,17,31,11,19,29
CCDC28B,1731,1570,1713,924,1795,1837,1731,1377,1598,1610,2048,1762
CGA,8,0,98,8,49,60,36,59,0,4,5,4
CGN,673,528,556,286,440,356,405,325,497,534,528,456
CARD6,11,13,11,6,9,16,15,14,37,10,93,11
PHGDH,2247,2018,2228,7438,2844,3564,2425,2395,2282,2023,3428,3066
CARD8,943,929,904,1183,870,759,1145,833,912,818,1342,1089
CARD9,14,12,34,33,32,27,29,15,29,38,52,37
SCAI,341,547,597,619,1262,1384,1073,487,909,833,1122,780
SEH1L,935,893,1250,1256,1362,1423,1274,1274,1013,1018,1092,1043
CDKN1C,686,636,494,696,578,292,544,483,622,377,1111,631
SCFD2,407,364,583,376,573,697,479,668,452,444,511,442
SCFD1,2390,2115,2198,1998,1873,1938,2061,1822,1987,1794,2688,2136
ZNF548,589,626,711,811,714,683,824,635,590,785,824,746
DLGAP2,3,0,13,0,1,1,2,8,4,6,5,3
KREMEN1,3875,3751,2653,4966,2737,2713,4171,2450,3082,2854,2919,3377
SPATA4,25,14,17,18,15,21,13,6,11,15,29,23
NewGene_2778,5,0,0,0,0,0,0,0,0,0,2,2
NewGene_2779,0,4,4,0,4,0,2,0,0,5,4,0
NewGene_2774,2,3,1,3,4,4,7,2,6,0,8,5
SLC6A5,16,9,67,31,23,34,29,46,26,22,37,21
NewGene_2770,0,0,0,0,0,0,0,0,2,0,0,0
NewGene_2772,3,0,7,4,3,0,0,2,0,3,10,4
XPNPEP2,0,0,18,24,2,0,43,4,23,5,2,2
GPR22,14,20,100,36,67,51,48,34,69,69,102,72
SPPL2C,0,0,3,0,3,1,3,0,0,3,2,3
NewGene_13403,2,1,0,0,0,0,0,0,1,0,2,1
PATJ,2443,2364,1334,1001,1223,980,1162,971,1200,1198,1933,1800
VTI1B,4362,3762,5302,3832,4870,5241,4860,4350,4322,3999,4908,4463
ZNF506,58,58,72,120,76,76,71,51,54,48,59,81
ZNF507,876,955,791,1114,779,847,1062,778,871,874,1195,1009
ZNF500,358,348,282,376,274,297,430,271,340,325,503,349
ZNF501,69,61,84,152,82,91,89,61,166,76,91,94
ZNF502,1,0,0,0,0,0,0,0,0,0,1,0
ZNF503,1304,1288,1343,3043,1968,1886,2781,1366,1503,1342,1367,1279
NewGene_5094,0,0,0,0,0,0,0,0,0,2,0,0
NewGene_5096,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_5097,0,0,0,0,0,0,0,0,0,0,0,0
NewGene_5090,0,3,5,0,12,11,10,10,15,21,10,13
NewGene_5091,0,0,0,0,2,0,2,0,1,1,0,3
NewGene_5093,0,2,0,0,0,0,0,0,0,0,3,0
ZNF547,235,152,256,259,195,235,276,233,237,241,280,208
CBLB,962,967,995,2630,898,957,1693,944,1200,1149,1223,1090
CBLC,14,4,8,0,0,9,0,2,4,3,0,2
OR2T1,0,0,0,0,0,0,0,0,0,0,0,0
WIZ,2430,2257,2837,3058,2519,2886,3180,2449,2724,2686,3889,2920
NewGene_11798,2,0,5,0,0,11,0,0,2,0,0,0
NewGene_2487,0,0,6,2,6,12,3,11,12,0,0,0
HMX1,1,4,2,7,5,5,2,4,1,4,2,2
HMX2,2,2,8,0,4,0,6,0,12,7,10,8
HMX3,2,4,16,25,4,12,17,2,25,28,21,14
LRRC3C,4,2,0,3,0,0,4,0,0,2,2,0
LOC105371216,108,36,135,53,130,171,79,133,161,222,168,76
GTDC1,659,633,822,1074,752,858,1076,759,842,792,1027,882
H2BC8,24,26,25,19,26,21,32,4,35,29,58,27
NewGene_2305,2,0,0,0,0,0,0,0,2,0,3,0
